Temperature_mK,A_bg,B_bg,A_peak,f_0_GHz,gamma_GHz,lorentz_integral,bg_integral
19.96,1.428375021e-11,-6.163602517e-11,1.428503265e-12,4.428712898,0.0005632579571,2.430897891e-15,3.2819765e-14
27.23,1.42745993e-11,-6.164419908e-11,1.463403548e-12,4.429757767,0.0005738833954,2.54203686e-15,3.184551657e-14
33.29,1.385747314e-11,-5.978730382e-11,1.435273803e-12,4.429750765,0.0005730119611,2.489522915e-15,3.202604361e-14
37.87,1.42412786e-11,-6.14969833e-11,1.465664188e-12,4.429740389,0.0005759705895,2.554850173e-15,3.183761772e-14
42.06,1.473103347e-11,-6.367035704e-11,1.4970579e-12,4.429737094,0.0005764500496,2.61165887e-15,3.176242425e-14
45.86,1.427503045e-11,-6.16395653e-11,1.461976615e-12,4.429734775,0.0005754393428,2.546153405e-15,3.197639164e-14
49.44,1.463353156e-11,-6.317723912e-11,1.480995172e-12,4.429728604,0.0005788153107,2.593821582e-15,3.298611356e-14
52.71,1.491232076e-11,-6.443123706e-11,1.509651825e-12,4.429727451,0.000576663031,2.634551537e-15,3.260687849e-14
55.66,1.42272043e-11,-6.143335359e-11,1.446055045e-12,4.429729364,0.0005779239141,2.528876627e-15,3.186322891e-14
58.57,1.393494436e-11,-6.012354009e-11,1.42691931e-12,4.429729894,0.0005760204662,2.487505865e-15,3.216526813e-14
61.61,1.454884051e-11,-6.280018146e-11,1.486957296e-12,4.429718152,0.0005761380248,2.592659654e-15,3.302363986e-14
63.98,1.434356128e-11,-6.194257635e-11,1.456190107e-12,4.429727033,0.0005755930111,2.536716371e-15,3.198800218e-14
66.55,1.457479403e-11,-6.291665255e-11,1.493106185e-12,4.429723359,0.0005751691241,2.599176637e-15,3.299370006e-14
68.88,1.45349068e-11,-6.279609306e-11,1.479323509e-12,4.42971829,0.0005786841762,2.590314111e-15,3.187088135e-14
71.22,1.486976342e-11,-6.423799453e-11,1.517893892e-12,4.429715271,0.0005773549001,2.651973538e-15,3.270114894e-14
73.51,1.491643386e-11,-6.443166431e-11,1.515700036e-12,4.429722178,0.0005776259332,2.64934715e-15,3.296275416e-14
75.27,1.493937627e-11,-6.45301988e-11,1.521934515e-12,4.429713122,0.0005766869613,2.65607023e-15,3.30247614e-14
77.54,1.473550211e-11,-6.367796403e-11,1.506267662e-12,4.429711993,0.000577878404,2.63395109e-15,3.200620672e-14
79.44,1.428148666e-11,-6.166041786e-11,1.468881422e-12,4.429709952,0.0005780035196,2.569107021e-15,3.21313612e-14
81.82,1.494508939e-11,-6.455498661e-11,1.514651984e-12,4.429705737,0.0005778183223,2.648337399e-15,3.303518793e-14
83.58,1.432682374e-11,-6.185767195e-11,1.457237292e-12,4.429707418,0.0005803289981,2.558599926e-15,3.220314469e-14
85.57,1.442733652e-11,-6.230439311e-11,1.466216447e-12,4.429709613,0.0005792659305,2.569832803e-15,3.217415347e-14
87.27,1.460088305e-11,-6.302842518e-11,1.49491418e-12,4.429709915,0.0005766207117,2.608621059e-15,3.3069735e-14
